university,career,inscription_date,first_name,last_name,gender,age
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,jeffrey,nash,male,30652
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,melissa,reynolds,female,6709
universidad nacional de jujuy,licenciatura en musicoterapia,2020-11-27,megan,lopez,female,20249
universidad tecnológica nacional,licenciatura en sociología,2021-01-17,leonard,weber,male,31598
universidad nacional de jujuy,diseño industrial,2020-11-01,corey,alvarado,male,4183
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-24,jessica,jordan,female,28097
universidad tecnológica nacional,arquitectura,2020-10-09,danny,brown,male,18138
universidad tecnológica nacional,licenciatura en sociología,2020-11-05,william,williams,male,29953
universidad tecnológica nacional,licenciatura en sociología,2020-10-08,sierra,dean,female,16661
universidad nacional de jujuy,contador público,2020-11-23,heather,williams,female,32683
universidad nacional de jujuy,diseño de imagen y sonido,2020-09-22,jose,jones,male,6726
universidad nacional de jujuy,diseño de imagen y sonido,2020-11-14,terry,shelton,male,35263
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020-09-12,brent,murray,male,31004
universidad tecnológica nacional,ingeniería electrónica,2020-09-30,jeffrey,martin,male,14331
universidad tecnológica nacional,bioquímica,2020-11-05,michael,watkins,male,24045
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-04,douglas,hogan,male,5146
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-09,nicole,giles,female,6635
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-11-10,rebecca,hart,female,7738
universidad tecnológica nacional,técnico para bioterios,2020-10-03,nicole,carr,female,41207
universidad tecnológica nacional,ingeniería en informática,2021-01-11,sandra,lucas,female,33273
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-24,nichole,lee,female,8475
universidad tecnológica nacional,farmacia,2020-09-11,hunter,murillo,male,37936
universidad tecnológica nacional,bioquímica,2021-01-12,jennifer,allen,female,41195
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-29,joshua,henderson,male,40407
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,debra,dixon,female,26168
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-07,jack,shannon,male,36819
universidad nacional de jujuy,diseño industrial,2020-12-09,vanessa,martin,female,26793
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021-01-30,tyler,horne,male,28885
universidad tecnológica nacional,bioquímica,2020-11-24,daniel,pacheco,male,4046
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-03,lucas,villarreal,male,33132
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda,bryant,female,14125
universidad tecnológica nacional,arquitectura,2020-11-13,jennifer,ellis,female,9567
universidad nacional de jujuy,ingeniería en informática,2021-01-07,robert,brown,male,23199
universidad nacional de jujuy,agronomía,2021-01-11,frank,obrien,male,35680
universidad tecnológica nacional,licenciatura en administración,2020-09-15,jacob,gibson,male,30190
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-10-04,krystal,sanders,female,36672
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-12-18,dr.,stacie,female,17561
universidad tecnológica nacional,licenciatura en sociología,2021-01-06,david,harris,male,22452
universidad nacional de jujuy,ingeniería electrónica,2020-09-19,kyle,rose,male,37141
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-18,jasmine,medina,female,34929
universidad tecnológica nacional,ciencias veterinarias,2020-09-26,matthew,dunn,male,12126
universidad nacional de jujuy,diseño industrial,2020-12-05,rebecca,padilla,female,7222
universidad nacional de jujuy,ingeniería electrónica,2020-10-07,melissa,swanson,female,8171
universidad nacional de jujuy,licenciatura en musicoterapia,2021-01-24,juan,hicks,male,24334
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-09-24,kristina,bush,female,17451
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-09,thomas,hernandez,male,4981
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-03,deborah,mclaughlin,female,15433
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-29,alexandria,smith,female,4764
universidad nacional de jujuy,farmacia,2020-10-21,christina,wells,female,41210
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-29,cassandra,mora,female,1460
universidad nacional de jujuy,actuario,2020-12-23,michael,chapman,male,12783
universidad tecnológica nacional,contador público,2020-09-21,stacey,case,female,23207
universidad tecnológica nacional,diseño industrial,2020-09-24,jason,roberts,male,33382
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-10-20,brandon,martin,male,35337
universidad nacional de jujuy,arquitectura,2020-11-09,richard,perez,male,4416
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-09,james,padilla,male,14995
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-23,marie,schwartz,female,20754
universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-07,caroline,humphrey,female,2417
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-24,julie,curtis,female,28239
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-07,jamie,taylor,female,20972
universidad tecnológica nacional,arquitectura,2020-12-24,chelsea,whitaker,female,6398
universidad nacional de jujuy,técnico para bioterios,2020-10-12,christopher,obrien,male,8719
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-08,julie,herrera,female,6503
universidad nacional de jujuy,bioquímica,2020-10-29,anthony,ruiz,male,6473
universidad nacional de jujuy,ingeniería electrónica,2020-11-10,sharon,day,female,19414
universidad tecnológica nacional,licenciatura en sociología,2020-09-02,ryan,bowen,male,15496
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-07,mark,hernandez,male,25162
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,jessica,richardson,female,18766
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-24,cameron,lynch,male,42246
universidad tecnológica nacional,licenciatura en administración,2020-09-09,emily,jones,female,13922
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-10-06,julian,green,male,2299
universidad tecnológica nacional,contador público,2020-09-24,dennis,hurst,male,25610
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-16,chelsea,white,female,30725
universidad tecnológica nacional,arquitectura,2020-12-29,antonio,patel,male,33752
universidad nacional de jujuy,actuario,2020-09-23,victoria,wolfe,female,7416
universidad nacional de jujuy,licenciatura en ciencia política,2020-10-04,spencer,dominguez,male,32151
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-03,tina,thomas,female,42617
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-17,tyler,reed,male,37864
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-21,emily,hall,female,29527
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021-01-08,javier,cobb,male,40187
universidad nacional de jujuy,licenciatura en ciencia política,2020-10-15,debra,davis,female,27230
universidad nacional de jujuy,medicina,2020-11-02,andre,anderson,male,20560
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,christina,porter,female,13786
universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-14,carolyn,clark,female,19440
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,jessica,mccall,female,3014
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-24,jared,larson,male,10194
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,darren,lee,male,19731
universidad tecnológica nacional,bioquímica,2020-10-28,jay,conway,male,8782
universidad tecnológica nacional,contador público,2020-12-13,jon,gordon,male,22764
universidad nacional de jujuy,diseño de imagen y sonido,2021-01-19,jorge,miller,male,9442
universidad tecnológica nacional,técnico para bioterios,2020-10-03,anthony,johnson,male,39021
universidad nacional de jujuy,ingeniería mecánica,2020-11-27,andrea,molina,female,32243
universidad tecnológica nacional,licenciatura en psicología,2020-09-11,greg,wells,male,30606
universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,aaron,vance,male,34612
universidad nacional de jujuy,arquitectura,2020-09-17,jimmy,taylor,male,6468
universidad nacional de jujuy,ingeniería en informática,2020-11-06,elizabeth,cox,female,32243
universidad nacional de jujuy,arquitectura,2021-01-15,stephanie,williamson,female,17361
universidad nacional de jujuy,farmacia,2020-11-26,derek,robinson,male,8423
universidad nacional de jujuy,licenciatura en ciencia política,2021-01-11,melissa,moore,female,24300
universidad tecnológica nacional,ingeniería en informática,2021-01-16,dale,martinez,male,6229
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-06,christopher,bennett,male,38720
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,dale,huynh,male,11461
universidad nacional de jujuy,diseño industrial,2020-12-06,tonya,hancock,female,20575
universidad nacional de jujuy,licenciatura en psicología,2020-09-07,michael,pacheco,male,29764
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-25,timothy,norman,male,34075
universidad nacional de jujuy,farmacia,2020-10-13,lauren,long,female,28433
universidad nacional de jujuy,agronomía,2020-09-29,anita,drake,female,39778
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-31,paul,evans,male,26323
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-05,christian,sanders,male,14083
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-09,nicole,wells,female,37844
universidad tecnológica nacional,licenciatura en sociología,2020-09-12,george,thompson,male,30510
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-26,joseph,wall,male,26978
universidad tecnológica nacional,contador público,2020-11-12,tiffany,molina,female,26913
universidad nacional de jujuy,diseño industrial,2020-09-30,elizabeth,hickman,female,39728
universidad tecnológica nacional,farmacia,2020-11-26,julia,lopez,female,7206
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-09-12,benjamin,hernandez,male,4783
universidad tecnológica nacional,agronomía,2020-10-10,benjamin,moore,male,34273
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-10-28,jesse,cohen,male,3000
universidad nacional de jujuy,agronomía,2020-11-08,mark,greer,male,10474
universidad nacional de jujuy,técnico para bioterios,2020-10-09,katie,hamilton,female,18582
universidad tecnológica nacional,diseño de imagen y sonido,2021-01-25,steven,sexton,male,24626
universidad tecnológica nacional,farmacia,2020-10-22,margaret,johnson,female,1183
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-27,john,smith,male,19433
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-11,paul,johnson,male,14428
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-10-26,jeffrey,le,male,39596
universidad nacional de jujuy,medicina,2020-11-12,jessica,ruiz,female,26873
universidad tecnológica nacional,actuario,2021-01-02,leah,williams,female,8080
universidad tecnológica nacional,ingeniería mecánica,2020-10-25,zachary,hurley,male,5409
universidad tecnológica nacional,licenciatura en administración,2020-11-22,isabella,gibson,female,8339
universidad nacional de jujuy,ingeniería electrónica,2020-12-19,jennifer,crawford,female,27775
universidad nacional de jujuy,actuario,2020-10-31,michele,roman,female,1107
universidad nacional de jujuy,actuario,2020-11-07,stephanie,dunn,female,9140
universidad tecnológica nacional,bioquímica,2020-09-06,mark,estrada,male,15926
universidad tecnológica nacional,actuario,2020-10-01,hunter,buck,male,18261
universidad tecnológica nacional,medicina,2021-01-12,christine,huerta,female,28199
universidad nacional de jujuy,licenciatura en musicoterapia,2021-01-05,tiffany,olson,female,32795
universidad nacional de jujuy,ingeniería mecánica,2020-11-12,christopher,miller,male,8335
universidad tecnológica nacional,diseño industrial,2020-12-18,felicia,bautista,female,27721
universidad tecnológica nacional,diseño de imagen y sonido,2020-12-30,david,yu,male,5001
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-10-08,ronnie,davis,male,10524
universidad nacional de jujuy,ciencias veterinarias,2020-12-25,connie,floyd,female,16928
universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-20,maria,hale,female,17577
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-11,katelyn,white,female,15095
universidad tecnológica nacional,agronomía,2020-09-15,mark,cook,male,38637
universidad tecnológica nacional,ingeniería electrónica,2021-01-16,margaret,chavez,female,28262
universidad nacional de jujuy,técnico para bioterios,2021-01-30,joseph,cabrera,male,29419
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-26,tammy,ortiz,female,33027
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-26,david,archer,male,11604
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-12,malik,ball,male,40491
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-30,mike,kim,male,37251
universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-04,emma,jackson,female,14198
universidad tecnológica nacional,ingeniería mecánica,2020-09-04,jeffrey,sandoval,male,21883
universidad nacional de jujuy,ingeniería en informática,2020-11-01,alyssa,nelson,female,22829
universidad nacional de jujuy,licenciatura en administración,2021-01-08,leonard,peterson,male,19522
universidad nacional de jujuy,ingeniería electrónica,2020-09-26,brian,moore,male,9463
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-30,betty,bishop,female,14651
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-26,tammy,petersen,female,7149
universidad tecnológica nacional,arquitectura,2020-09-30,justin,lopez,male,7992
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-02,megan,booker,female,24901
universidad tecnológica nacional,licenciatura en administración,2020-11-01,jose,ewing,male,13332
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-26,tiffany,bates,female,5530
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-06,russell,gomez,male,21976
universidad nacional de jujuy,ingeniería mecánica,2020-11-09,cassandra,turner,female,13721
universidad nacional de jujuy,agronomía,2020-10-06,matthew,jensen,male,26950
universidad nacional de jujuy,técnico para bioterios,2020-11-14,danielle,wilson,female,36391
universidad nacional de jujuy,ciencias veterinarias,2020-12-15,brian,reese,male,19921
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-21,desiree,edwards,female,41851
universidad tecnológica nacional,técnico para bioterios,2021-01-15,thomas,thompson,male,25810
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-12,rachel,torres,female,3861
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-12-08,wesley,acosta,male,20758
universidad tecnológica nacional,licenciatura en administración,2020-12-11,samantha,briggs,female,41956
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-19,stacey,lee,female,7373
universidad nacional de jujuy,ciencias veterinarias,2020-10-23,kaitlyn,case,female,1118
universidad nacional de jujuy,diseño de imagen y sonido,2021-01-10,austin,smith,male,27335
universidad tecnológica nacional,contador público,2020-10-08,katie,cain,female,33238
universidad tecnológica nacional,diseño industrial,2021-01-27,tony,hall,male,7095
universidad tecnológica nacional,ingeniería en informática,2020-09-14,troy,martin,male,39225
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-09,christopher,everett,male,32085
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-11-17,dean,brown,male,1278
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-10,jason,rice,male,13604
universidad tecnológica nacional,farmacia,2021-01-29,john,williams,male,18807
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-24,kristen,brown,female,23468
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-12-25,heather,small,female,25770
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-26,mrs.,crystal,female,42497
universidad nacional de jujuy,diseño industrial,2020-12-20,julie,wilson,female,21502
universidad tecnológica nacional,ingeniería electrónica,2020-12-16,leslie,harris,female,3244
universidad tecnológica nacional,medicina,2020-11-02,amy,warner,female,20565
universidad tecnológica nacional,licenciatura en psicología,2020-12-09,jennifer,schroeder,female,11150
universidad nacional de jujuy,bioquímica,2020-10-15,adrienne,jackson,female,11561
universidad tecnológica nacional,actuario,2020-12-25,sydney,jackson,female,28852
universidad tecnológica nacional,licenciatura en administración,2021-01-29,jason,austin,male,26992
universidad tecnológica nacional,licenciatura en administración,2020-09-14,jacob,white,male,38093
universidad tecnológica nacional,ciencias veterinarias,2020-12-07,dylan,brown,male,24492
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-28,kristin,johnson,female,29677
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-13,andrew,mcdonald,male,32594
universidad tecnológica nacional,licenciatura en psicología,2020-10-12,karen,wagner,female,33555
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-10-20,deborah,martin,female,42609
universidad tecnológica nacional,ingeniería mecánica,2021-01-11,christopher,rivera,male,39607
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-20,holly,obrien,female,28857
universidad tecnológica nacional,licenciatura en psicología,2020-09-28,amy,hanson,female,1681
universidad tecnológica nacional,ingeniería mecánica,2020-09-06,heather,pearson,female,7928
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,chase,rodriguez,male,18705
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-22,debra,taylor,female,30286
universidad tecnológica nacional,ciencias veterinarias,2020-11-25,tina,garcia,female,5123
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-17,lisa,nolan,female,35974
universidad nacional de jujuy,licenciatura en psicología,2020-10-24,scott,perkins,male,12241
universidad tecnológica nacional,licenciatura en artes,2021-01-13,jack,roberts,male,27350
universidad tecnológica nacional,ingeniería mecánica,2020-10-09,brandon,rhodes,male,29652
universidad tecnológica nacional,licenciatura en artes,2020-09-21,april,swanson,female,27447
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-10-06,matthew,watson,male,39932
universidad tecnológica nacional,agronomía,2020-10-19,edward,randolph,male,12165
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-10-30,amanda,davis,female,12514
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-28,jacob,cruz,male,28516
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-04,pamela,cherry,female,22985
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-19,mark,smith,male,21260
universidad nacional de jujuy,licenciatura en ciencias geológicas,2021-01-11,richard,foster,male,17771
universidad tecnológica nacional,arquitectura,2020-12-02,denise,stephens,female,29761
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-28,melissa,king,female,42570
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-04,brittany,boyd,female,12905
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-30,chad,murphy,male,29708
universidad nacional de jujuy,arquitectura,2020-10-13,christopher,fox,male,24935
universidad nacional de jujuy,diseño de imagen y sonido,2020-09-20,bob,rice,male,32728
universidad nacional de jujuy,licenciatura en sociología,2020-09-24,jeremy,arnold,male,39549
