0,1,2,3,4,5,6,7,8,9
30652 days,jeffrey,nash,77269,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/28,m,general rodriguez,bmorgan@hotmail.com
6709 days,melissa,reynolds,39200,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/11/25,f,cabure,jonathon04@hotmail.com
20249 days,megan,lopez,58294,universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/27,f,arroyo de la ventana,reeddonald@yahoo.com
31598 days,leonard,weber,27351,universidad tecnológica nacional,licenciatura en sociología ,2021/01/17,m,mariano acosta,dmercado@yahoo.com
4183 days,corey,alvarado,03006,universidad nacional de jujuy,diseño industrial,2020/11/01,m,aldecon,shawnhunt@gmail.com
28097 days,jessica,jordan,07145,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/24,f,campo yaguarete,daymatthew@gmail.com
18138 days,danny,brown,46546,universidad tecnológica nacional,arquitectura,2020/10/09,m,remedios de escalada,lisa01@hotmail.com
29953 days,william,williams,48164,universidad tecnológica nacional,licenciatura en sociología ,2020/11/05,m,agua salada,smithemma@gmail.com
16661 days,sierra,dean,96326,universidad tecnológica nacional,licenciatura en sociología ,2020/10/08,f,colonia zapata,lhobbs@gmail.com
32683 days,heather,williams,43977,universidad nacional de jujuy,contador público ,2020/11/23,f,bajo la cancha,travissutton@yahoo.com
6726 days,jose,jones,97487,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/22,m,amuschina,jennifer87@hotmail.com
35263 days,terry,shelton,67841,universidad nacional de jujuy,diseño de imagen y sonido,2020/11/14,m,colonia jauregui,kellerkristopher@yahoo.com
31004 days,brent,murray,69240,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,m,barrio garin norte,elizabeth47@hotmail.com
14331 days,jeffrey,martin,55975,universidad tecnológica nacional,ingeniería electrónica,2020/09/30,m,barrio la union,steven54@hotmail.com
24045 days,michael,watkins,20187,universidad tecnológica nacional,bioquímica,2020/11/05,m,bajo la cancha,michelle01@hotmail.com
5146 days,douglas,hogan,16192,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/04,m,puesto de isla,lynchalexis@gmail.com
