0,1,2,3,4,5,6,7,8,9
25298 days,jonathan,zimmerman,4139,_universidad_de_palermo,actuario_,2020-12-04,m,,
29616 days,jason,mahoney,6315,universidad_nacional_de_tres_de_febrero,ingeniería_electrónica,2020-12-12,m,,
30432 days,jeffrey,may,3057,universidad_nacional_de_tres_de_febrero,licenciatura_en_sociología_,2020-01-13,m,,
36278 days,kathy,collins,3229,_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,2020-10-26,f,,
32458 days,desiree,martin,5591,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,2020-07-04,f,,
38234 days,travis,haney,6101,universidad_nacional_de_tres_de_febrero,arquitectura,2020-05-12,m,,
23345 days,michael,willis,3384,_universidad_de_palermo,técnico_para_bioterios_,2020-08-17,m,,
22211 days,chelsea,ellis,5471,universidad_nacional_de_tres_de_febrero,ingeniería_mecánica,2020-08-14,f,,
39743 days,mark,woods,2703,_universidad_de_palermo,licenciatura_en_ciencia_política_,2020-03-25,m,,
37829 days,ashley,allen,5444,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_de_la_computación,2020-10-27,f,,
37158 days,kevin,lee,6365,_universidad_de_palermo,agronomía,2020-10-24,m,,
39382 days,mark,scott,9313,_universidad_de_palermo,licenciatura_en_sociología_,2020-12-23,m,,
38216 days,crystal,robles,8134,universidad_nacional_de_tres_de_febrero,arquitectura,2020-10-23,f,,
10339 days,gerald,bell,1603,_universidad_de_palermo,actuario_,2020-01-30,m,,
10526 days,paul,miller,6459,_universidad_de_palermo,licenciatura_en_musicoterapia,2020-06-19,m,,
15306 days,janet,velazquez,8144,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,2020-01-17,f,,
41067 days,diana,freeman,6365,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2020-09-08,f,,
40379 days,sara,madden,5372,_universidad_de_palermo,licenciatura_en_ciencias_antropológicas,2020-06-01,f,,
39863 days,haley,lamb,8185,universidad_nacional_de_tres_de_febrero,licenciatura_en_terapia_ocupacional,2020-04-05,f,,
27611 days,nicholas,vega,4616,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2020-10-25,m,,
37825 days,joshua,hill,7249,universidad_nacional_de_tres_de_febrero,diseño_industrial,2020-09-20,m,,
15090 days,dawn,taylor,6661,_universidad_de_palermo,licenciatura_en_planificación_y_diseño_del_paisaje,2020-10-21,f,,
39127 days,chelsey,baker,5463,_universidad_de_palermo,técnico_para_bioterios_,2020-05-08,f,,
15011 days,william,williams,3201,universidad_nacional_de_tres_de_febrero,ciencias_veterinarias,2020-11-22,m,,
17664 days,amber,jacobs,3580,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_ambientales,2020-08-22,f,,
21137 days,chelsea,evans,3355,_universidad_de_palermo,contador_público_,2020-11-22,f,,
9813 days,michael,williamson,5523,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2020-01-23,m,,
13231 days,mr.,phillip,3522,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_de_la_computación,2020-02-18,m,,
36944 days,virginia,rhodes,2342,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencia_política_,2020-02-03,f,,
26567 days,gary,ramirez,3532,_universidad_de_palermo,licenciatura_en_producción_de_bioimagenes,2020-04-24,m,,
38273 days,david,white,1706,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencia_y_tecnología_de_alimentos,2020-10-11,m,,
27132 days,joseph,smith,6309,universidad_nacional_de_tres_de_febrero,licenciatura_en_artes,2020-10-29,m,,
