university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de palermo,actuario,2020-12-04,jonathan,zimmerman,male,25298,4139,,
universidad nacional de tres de febrero,ingeniería electrónica,2020-12-12,jason,mahoney,male,29616,6315,,
universidad nacional de tres de febrero,licenciatura en sociología,2020-01-13,jeffrey,may,male,30432,3057,,
universidad de palermo,licenciatura en producción de bioimagenes,2020-10-26,kathy,collins,female,36278,3229,,
universidad de palermo,licenciatura en ciencias biológicas,2020-07-04,desiree,martin,female,32458,5591,,
universidad nacional de tres de febrero,arquitectura,2020-05-12,travis,haney,male,38234,6101,,
universidad de palermo,técnico para bioterios,2020-08-17,michael,willis,male,23345,3384,,
universidad nacional de tres de febrero,ingeniería mecánica,2020-08-14,chelsea,ellis,female,22211,5471,,
universidad de palermo,licenciatura en ciencia política,2020-03-25,mark,woods,male,39743,2703,,
universidad nacional de tres de febrero,licenciatura en ciencias de la computación,2020-10-27,ashley,allen,female,37829,5444,,
universidad de palermo,agronomía,2020-10-24,kevin,lee,male,37158,6365,,
universidad de palermo,licenciatura en sociología,2020-12-23,mark,scott,male,39382,9313,,
universidad nacional de tres de febrero,arquitectura,2020-10-23,crystal,robles,female,38216,8134,,
universidad de palermo,actuario,2020-01-30,gerald,bell,male,10339,1603,,
universidad de palermo,licenciatura en musicoterapia,2020-06-19,paul,miller,male,10526,6459,,
universidad de palermo,licenciatura en ciencia y tecnología de alimentos,2020-01-17,janet,velazquez,female,15306,8144,,
universidad nacional de tres de febrero,licenciatura en producción de bioimagenes,2020-09-08,diana,freeman,female,41067,6365,,
universidad de palermo,licenciatura en ciencias antropológicas,2020-06-01,sara,madden,female,40379,5372,,
universidad nacional de tres de febrero,licenciatura en terapia ocupacional,2020-04-05,haley,lamb,female,39863,8185,,
universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2020-10-25,nicholas,vega,male,27611,4616,,
universidad nacional de tres de febrero,diseño industrial,2020-09-20,joshua,hill,male,37825,7249,,
universidad de palermo,licenciatura en planificación y diseño del paisaje,2020-10-21,dawn,taylor,female,15090,6661,,
universidad de palermo,técnico para bioterios,2020-05-08,chelsey,baker,female,39127,5463,,
