fist_name,last_name,gender,location,email,age,university,inscription_date,career,postal_code
CHELSEA,TAYLOR,F,"900 MAYO LIGHT
BAKERCHESTER, IA 10691",MICHAEL67@GMAIL.COM,100.0,UNIVERSIDAD DE FLORES,2020-11-01,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,6200
DANIEL,BROWN,M,"3117 CURTIS ALLEY
SOUTH WILLIEPORT, IN 36546",KHODGES@GMAIL.COM,83.0,UNIVERSIDAD DE FLORES,2020-12-09,INGENIERÍA EN INFORMÁTICA,1633
MS.,AMY SCOTT,F,"072 CYNTHIA GROVE APT. 356
EAST LAURASIDE, TN 76437",DMADDEN@HOTMAIL.COM,31.0,UNIVERSIDAD DE FLORES,2020-09-11,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,5777
DAVID,HUBER,M,"139 EVANS FREEWAY APT. 860
MARSHALLMOUTH, NM 37988",WWEBB@HOTMAIL.COM,70.0,UNIVERSIDAD DE FLORES,2020-09-18,LICENCIATURA EN CIENCIAS AMBIENTALES,4605
STEVEN,MUNOZ,M,"1637 HENRY PORTS SUITE 461
EAST TIFFANYBURY, WY 75509",CHRISTOPHER00@YAHOO.COM,67.0,UNIVERSIDAD DE FLORES,2020-09-06,DISEÑO DE IMAGEN Y SONIDO,5381
TIM,COX,M,"853 FLORES HILLS SUITE 959
NEW THOMAS, NJ 15969",ALICIAPEARSON@HOTMAIL.COM,18.0,UNIVERSIDAD DE FLORES,2020-12-22,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,5622
JOANN,DOMINGUEZ,F,"17944 JUSTIN PASSAGE
HERNANDEZTON, NM 44342",ELIZABETH50@HOTMAIL.COM,106.0,UNIVERSIDAD DE FLORES,2020-12-22,DISEÑO INDUSTRIAL,3308
MRS.,BREANNA ANDERSON MD,F,"273 MARK MANORS SUITE 752
LAKE MICHAELVILLE, OK 26139",RREILLY@HOTMAIL.COM,67.0,UNIVERSIDAD DE FLORES,2020-10-19,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,5622
IAN,LEWIS,M,"808 SIMPSON RIDGE
SOUTH VICTORIA, IN 40139",KIMANN@HOTMAIL.COM,16.0,UNIVERSIDAD DE FLORES,2020-11-20,BIOQUÍMICA,2508
ALEXANDER,WILLIAMS,M,"455 VALENZUELA EXTENSIONS APT. 429
MICHAELLAND, WI 68300",LESLIE97@GMAIL.COM,14.0,UNIVERSIDAD DE FLORES,2020-09-08,LICENCIATURA EN CIENCIAS AMBIENTALES,4163
EMILY,WILSON,F,"470 STACY LODGE
JACKIECHESTER, WV 78792",MARK19@HOTMAIL.COM,83.0,UNIVERSIDAD DE FLORES,2020-11-11,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,3328
LAURA,CLAY,F,"5672 TERRI CLUB
NORTH JEFF, VA 78893",KELLYJORDAN@YAHOO.COM,19.0,UNIVERSIDAD DE FLORES,2020-12-04,LICENCIATURA EN CIENCIAS BIOLÓGICAS,1659
BRIAN,ALEXANDER,M,"709 SOLOMON COMMON
HENDRICKSTOWN, WV 83630",MPOWELL@GMAIL.COM,112.0,UNIVERSIDAD DE FLORES,2021-01-16,LICENCIATURA EN SOCIOLOGÍA ,3706
ERIK,ADAMS,M,"51586 JONES PASSAGE SUITE 626
LAKE JEANNE, IN 62769",VICTOR43@YAHOO.COM,13.0,UNIVERSIDAD DE FLORES,2021-01-18,AGRONOMÍA,6077
SARA,HANSEN,F,"863 RICKEY FORT
WEST SHERI, CT 74767",MDAVIS@YAHOO.COM,64.0,UNIVERSIDAD DE FLORES,2020-12-27,FARMACIA,5572
FRANK,FIELDS,M,"7711 GOODMAN DRIVE APT. 027
MICHAELFURT, OK 78726",KATHY78@GMAIL.COM,114.0,UNIVERSIDAD DE FLORES,2021-01-29,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,3531
SANDRA,WHITE,F,"24858 NEWMAN GROVE SUITE 331
EAST PATRICIACHESTER, DC 25663",TARA67@HOTMAIL.COM,9.0,UNIVERSIDAD DE FLORES,2020-10-27,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,6476
