university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad-j.-f.-kennedy,ingeniería-mecánica,2021-01-19,nancy,underwood,f,16889 days,4139,"2173-joanne-groves
martinland,-ri-40658",mcdonaldjulia@yahoo.com
universidad-j.-f.-kennedy,actuario-,2020-10-15,james,kelly,m,-16858 days,3176,"312-powers-rapids-apt.-557
greenfort,-ks-38676",contrerasstephen@yahoo.com
universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,2021-01-22,jaime,crawford,f,16740 days,7612,"98306-kevin-port-suite-279
new-denisemouth,-ok-01074",martin59@yahoo.com
universidad-j.-f.-kennedy,actuario-,2020-10-06,matthew,ballard,m,1312 days,7401,"unit-5743-box-5761
dpo-ae-17758",jamesguerra@yahoo.com
universidad-j.-f.-kennedy,arquitectura,2020-10-19,tiffany,harris,f,-10206 days,5471,"04779-sharon-extension
christophermouth,-mo-36023",simmonsderek@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,2021-01-07,antonio,turner,m,10317 days,4164,"595-christopher-roads
new-mariahaven,-id-48517",burgesskathy@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,2020-12-27,holly,miller,f,10616 days,3083,"401-sarah-rapid-apt.-043
north-kathryn,-pa-43768",ggraves@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-kinesiología-y-fisiatría,2020-09-08,andrew,lee,m,-11909 days,4751,"030-rodney-mountains-suite-137
east-michelleview,-ut-38509",haley06@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-relaciones-del-trabajo-,2021-01-15,melanie,parks,f,5443 days,2506,"389-jonathan-stravenue
west-dawn,-mt-85338",mgarza@yahoo.com
universidad-j.-f.-kennedy,medicina,2020-09-14,aaron,brown,m,4766 days,3418,"38554-john-harbors
ibarraton,-ne-94554",richard88@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,2020-09-20,terry,mooney,m,444 days,2801,"54919-christopher-loaf-apt.-366
johnport,-nd-69215",joshua50@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,2021-01-15,john,cantu,m,-3021 days,3283,"93335-turner-corners
east-andrea,-nc-77877",ashleylin@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencia-política-,2020-10-02,joseph,callahan,m,-12765 days,6220,"85795-miller-point-suite-566
lake-stephanieview,-nd-42095",ronaldgonzales@gmail.com
