university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad j. f. kennedy,ingeniería mecánica,2021-01-19,nancy,underwood,female,46,4139,agua amarilla la hoyada,mcdonaldjulia@yahoo.com
universidad j. f. kennedy,licenciatura en ciencias de la educación ,2020-12-29,janet,dennis,female,29,4139,agua amarilla la hoyada,amber49@yahoo.com
universidad j. f. kennedy,licenciatura en ciencias biológicas,2020-12-15,elizabeth,ramos,female,22,4139,agua amarilla la hoyada,kellyrobbins@gmail.com
universidad j. f. kennedy,licenciatura en administración ,2021-01-29,taylor,coffey,female,22,4139,agua amarilla la hoyada,gonzalesdavid@yahoo.com
universidad j. f. kennedy,ingeniería mecánica,2020-12-21,danielle,jones,female,47,4139,agua amarilla la hoyada,daniel46@hotmail.com
universidad j. f. kennedy,actuario ,2020-10-15,james,kelly,male,-46,3176,estacion sola,contrerasstephen@yahoo.com
universidad j. f. kennedy,licenciatura en sociología ,2021-01-04,andrea,rodgers,female,2,3176,estacion sola,vhernandez@hotmail.com
universidad j. f. kennedy,diseño de imagen y sonido,2021-01-22,jaime,crawford,female,45,7612,camet,martin59@yahoo.com
universidad j. f. kennedy,diseño industrial,2020-10-07,joseph,nguyen,male,19,7612,camet,nicholasrodgers@hotmail.com
universidad j. f. kennedy,licenciatura en ciencias antropológicas,2020-10-29,mitchell,smith,male,33,7612,camet,landrydawn@hotmail.com
universidad j. f. kennedy,actuario ,2020-10-06,matthew,ballard,male,3,7401,canteras de gregorini,jamesguerra@yahoo.com
universidad j. f. kennedy,ingeniería mecánica,2020-12-30,carrie,cox,female,-1,7401,canteras de gregorini,matthewpalmer@gmail.com
universidad j. f. kennedy,arquitectura,2020-10-19,tiffany,harris,female,-27,5471,agua blanca,simmonsderek@yahoo.com
universidad j. f. kennedy,licenciatura en planificación y diseño del paisaje,2020-09-02,jordan,anderson,male,-12,5471,agua blanca,lyates@gmail.com
universidad j. f. kennedy,licenciatura en musicoterapia,2020-12-05,denise,grant,female,-24,5471,agua blanca,wrivera@hotmail.com
universidad j. f. kennedy,licenciatura en producción de bioimagenes,2021-01-07,antonio,turner,male,28,4164,bajastine,burgesskathy@yahoo.com
universidad j. f. kennedy,licenciatura en ciencias antropológicas,2020-09-01,daniel,schaefer,male,-43,4164,bajastine,annajohnson@hotmail.com
universidad j. f. kennedy,contador público ,2020-11-24,john,garcia,male,29,4164,bajastine,anita82@hotmail.com
universidad j. f. kennedy,licenciatura en relaciones del trabajo ,2021-01-24,jeremy,dixon,male,-20,4164,bajastine,ortizkenneth@gmail.com
universidad j. f. kennedy,licenciatura en ciencias de la educación ,2020-12-27,holly,miller,female,29,3083,grutly,ggraves@yahoo.com
universidad j. f. kennedy,licenciatura en psicología,2021-01-04,jordan,martinez,female,-43,3083,grutly,nathanhardin@hotmail.com
universidad j. f. kennedy,técnico para bioterios ,2021-01-08,madison,chase,female,13,3083,grutly,chad60@yahoo.com
universidad j. f. kennedy,licenciatura en kinesiología y fisiatría,2020-09-08,andrew,lee,male,-32,4751,agua de dionisio,haley06@hotmail.com
