university,career,inscription_date,first_name,last_name,gender,age,location,postal_code,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,2020-10-02,PHILIP,CORTEZ,M,36390 days,BELLA-VISTA,"711-SMITH-SUMMIT
NORTH-JOHNBURGH,-SD-52885",ASHLEY17@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,2020-11-30,TIMOTHY,OLSON,M,38701 days,BARKER,"614-CONTRERAS-PINES
NORTH-SARAH,-WV-53367",CONNIE29@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,2021-01-07,ADRIAN,WILSON,M,37687 days,GRUTLY,"9131-PETERSEN-COURSE
EAST-WILLIAMLAND,-MS-40921",SCHMIDTCHRISTOPHER@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,2020-10-16,MELISSA,HENDRIX,F,3544 days,ARROYO-DEL-MEDIO,"2922-TIFFANY-CURVE
GONZALEZVIEW,-MD-47608",CHELSEAWHITE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,2020-12-01,DANIELLE,WATSON,F,20807 days,ACEVEDO,"3747-CARTER-LOAF-SUITE-691
NORTH-ROBERT,-AR-63571",RUSSELLGINA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2020-10-22,GEORGE,NEWMAN,M,3179 days,ABRALAITE,"7507-STEPHEN-CORNER
NORTH-MARK,-NY-65680",LSMITH@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,2020-11-16,KELLY,BARNETT,F,25812 days,ALDAO,"713-AMY-RAPIDS-SUITE-839
MELANIEBERG,-MS-66336",ROBERTHOLMES@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ACTUARIO-,2021-01-20,STEPHANIE,JORDAN,F,34394 days,BARRIO-INDIO-TROMPA,"07219-CATHERINE-CORNER
DONNAHAVEN,-NM-82076",PERRYKIMBERLY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,2021-01-20,JASON,NEWTON,M,18662 days,25-DE-MAYO,"45594-JEANETTE-MOUNTAIN-APT.-242
PORT-ANTHONY,-OR-11392",MARTINBRIANNA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,2020-12-14,MARIAH,THOMAS,F,31109 days,BOEUF,"344-PHILLIP-HILLS-SUITE-006
DANIELFURT,-MA-25055",CALEXANDER@HOTMAIL.COM
