fist_name,last_name,gender,location,email,age,university,inscription_date,career,postal_code
ROGER,GREGORY,M,"7615_HAYS_COVE_APT._447
CHRISTINEBURY,_LA_00827",JUANMAY@HOTMAIL.COM,35.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-26,LICENCIATURA_EN_SOCIOLOGÍA_,3308
DANIELLE,WHEELER,F,"86991_TIMOTHY_VALLEYS
MATTHEWVIEW,_MS_38879",TIFFANYWASHINGTON@HOTMAIL.COM,-39.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-26,BIOQUÍMICA,6071
JOANN,BENNETT,F,"98207_NICOLE_SQUARES_APT._126
JOSHUABERG,_WI_22502",CNICHOLSON@HOTMAIL.COM,-8.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-12,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,6387
JOHN,MUNOZ,M,"20506_BRANDON_LIGHTS
NEW_KENNETHHAVEN,_VA_17683",MARTINEZALICIA@YAHOO.COM,-31.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-05,LICENCIATURA_EN_SOCIOLOGÍA_,8318
ANDREA,WALKER,F,"USNV_MCCLAIN
FPO_AA_55002",COOKMARGARET@HOTMAIL.COM,13.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-09,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,8154
TRACY,ROGERS,F,"PSC_1238,_BOX_5829
APO_AE_93632",EKNIGHT@YAHOO.COM,-21.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-09,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,5439
ARIEL,RICHARDSON,F,"44302_ROBERT_MEWS
WILLIAMSBURGH,_TN_59041",WILLIAM49@GMAIL.COM,43.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-05,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,7228
BRANDON,DAVIS,M,"PSC_4092,_BOX_7811
APO_AE_18354",ROBINSONAARON@YAHOO.COM,32.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-07,DISEÑO_DE_IMAGEN_Y_SONIDO,4516
BRETT,SANDOVAL,M,"1229_DAVIS_KEY
EAST_JOSEPH,_TX_89833",FRICHARDSON@HOTMAIL.COM,13.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-02-01,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,4503
SHEILA,ANDREWS,F,"7481_GREGORY_BURGS
CARRSIDE,_NE_57868",RANDERSON@GMAIL.COM,3.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-23,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,4235
