university;career;inscription_date;first_name;last_name;gender;age;postal_code;location;email
universidad nacional de tres de febrero;técnico para bioterios;2020-12-22;james;jones;male;-19;1601;isla martin garcia;robert72@gmail.com
universidad nacional de tres de febrero;licenciatura en psicología;2020-11-17;harold;miller;male;11;1607;villa adelina;xsmith@gmail.com
universidad nacional de tres de febrero;agronomía;2020-11-05;ms.;andrea;female;36;1607;villa adelina;shaneyoder@yahoo.com
universidad nacional de tres de febrero;diseño industrial;2020-10-02;phillip;brown;male;51;1609;boulogne;adam54@gmail.com
universidad nacional de tres de febrero;diseño de imagen y sonido;2020-12-04;gregory;jennings;male;-1;1609;boulogne;rodneyclark@hotmail.com
universidad nacional de tres de febrero;licenciatura en producción de bioimagenes;2020-10-21;jennifer;benson;female;41;1609;boulogne;hessjames@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia política;2021-02-01;bethany;newman;female;26;1613;los polvorines;laurabriggs@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencia política;2020-11-06;nicolas;hill;male;14;1614;villa de mayo;boyerthomas@gmail.com
universidad nacional de tres de febrero;licenciatura en kinesiología y fisiatría;2020-12-25;lisa;english;female;-26;1614;villa de mayo;pdavies@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias biológicas;2020-10-20;kayla;roman;female;12;1621;benavidez;jordanmalik@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencias ambientales;2021-01-27;gabriel;barnett;male;17;1621;benavidez;esheppard@yahoo.com
universidad nacional de tres de febrero;arquitectura;2020-12-03;diamond;wright;female;1;1625;arroyo canelon;bowenjennifer@yahoo.com
universidad nacional de tres de febrero;licenciatura en planificación y diseño del paisaje;2021-01-04;carolyn;johnson;female;50;1627;matheu;sharon43@yahoo.com
universidad nacional de tres de febrero;técnico para bioterios;2020-09-26;raymond;marshall;male;37;1627;matheu;robert27@yahoo.com
universidad nacional de tres de febrero;bioquímica;2020-11-03;sergio;medina;male;-43;1627;matheu;timothylewis@gmail.com
universidad nacional de tres de febrero;licenciatura en relaciones del trabajo;2020-09-30;cody;vaughn;male;10;1631;villa rosa;nichole69@gmail.com
universidad nacional de tres de febrero;ingeniería mecánica;2021-01-15;vincent;alvarez;male;5;1633;empalme;kmarsh@hotmail.com
universidad nacional de tres de febrero;contador público;2021-01-04;daniel;lewis;male;10;1633;empalme;lsteele@yahoo.com
universidad nacional de tres de febrero;ingeniería mecánica;2020-09-14;george;dean;male;-32;1635;kilometro 45;wstewart@yahoo.com
universidad nacional de tres de febrero;ciencias veterinarias;2020-11-10;mark;dominguez;male;3;1636;la lucila;joseph02@hotmail.com
universidad nacional de tres de febrero;licenciatura en gestión de agroalimentos;2020-10-09;spencer;andersen;male;43;1638;vicente lopez;hbrock@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencias geológicas;2021-01-02;yolanda;maynard;female;15;1638;vicente lopez;blakecourtney@gmail.com
universidad nacional de tres de febrero;medicina;2020-10-26;valerie;lee;female;-37;1640;acassuso;leekenneth@yahoo.com
universidad nacional de tres de febrero;diseño industrial;2020-10-06;kayla;wheeler;female;24;1640;acassuso;hillantonio@hotmail.com
universidad nacional de tres de febrero;licenciatura en administración;2021-01-15;james;thompson;male;10;1640;acassuso;equinn@gmail.com
universidad nacional de tres de febrero;licenciatura en sociología;2020-09-23;linda;martin;female;-35;1642;san isidro;cgonzalez@yahoo.com
universidad nacional de tres de febrero;ciencias veterinarias;2020-10-09;curtis;stein;male;-46;1643;beccar;gaguilar@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencias de la educación;2021-01-31;trevor;stokes;male;-30;1644;victoria;garciastacy@hotmail.com
universidad nacional de tres de febrero;ingeniería en informática;2020-11-24;kevin;freeman;male;9;1644;victoria;darlenesilva@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencia y tecnología de alimentos;2020-10-20;lisa;sullivan;female;3;1648;rincon de milberg;dominguezedwin@gmail.com
universidad nacional de tres de febrero;técnico para bioterios;2020-12-27;andrew;wells;male;1;1649;zona delta tigre;george30@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias antropológicas;2020-11-21;valerie;wong;female;12;1649;zona delta tigre;gary77@hotmail.com
universidad nacional de tres de febrero;agronomía;2021-01-31;melissa;reid;female;39;1655;jose leon suarez;andremorgan@hotmail.com
universidad nacional de tres de febrero;farmacia;2020-11-24;april;wood;female;9;1655;jose leon suarez;bradleygabrielle@yahoo.com
universidad nacional de tres de febrero;diseño de imagen y sonido;2021-01-31;david;barnes;male;-11;1661;bella vista;jleonard@yahoo.com
universidad nacional de tres de febrero;bioquímica;2020-11-24;robert;smith;male;27;1661;bella vista;christopher64@gmail.com
universidad nacional de tres de febrero;licenciatura en psicología;2020-12-31;john;munoz;male;0;1663;muñiz;adam50@yahoo.com
universidad nacional de tres de febrero;actuario;2020-12-04;kimberly;tucker;female;37;1663;muñiz;jonathan83@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias geológicas;2020-11-03;andrew;valencia;male;-40;1664;trujui;davidflores@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia y tecnología de alimentos;2020-11-28;jason;vincent;male;2;1665;jose clemente paz;brianna71@gmail.com
universidad nacional de tres de febrero;agronomía;2020-10-12;kelly;hatfield;female;5;1665;jose clemente paz;brittany75@yahoo.com
universidad nacional de tres de febrero;licenciatura en kinesiología y fisiatría;2020-09-03;michele;sanchez;female;-2;1667;manuel alberti;ronald19@gmail.com
universidad nacional de tres de febrero;medicina;2021-01-28;joyce;velasquez;female;34;1667;manuel alberti;weavertimothy@hotmail.com
universidad nacional de tres de febrero;licenciatura en gestión de agroalimentos;2021-01-16;christopher;blanchard;male;6;1669;del viso;aaron64@yahoo.com
universidad nacional de tres de febrero;licenciatura en producción de bioimagenes;2020-10-18;joshua;sanchez;male;15;1669;del viso;leslie41@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia y tecnología de alimentos;2020-11-12;blake;mcintyre;male;38;1669;del viso;fphillips@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia política;2021-01-20;kristin;osborne;female;6;1669;del viso;starkricardo@hotmail.com
universidad nacional de tres de febrero;licenciatura en relaciones del trabajo;2021-01-17;george;martin;male;-13;1669;del viso;darrencox@yahoo.com
universidad nacional de tres de febrero;diseño de imagen y sonido;2020-09-26;phyllis;hernandez;female;-24;1669;del viso;ryanhayes@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias antropológicas;2020-12-19;cheryl;lee;female;14;1670;nordelta;hilldeborah@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia política;2021-01-09;kevin;cummings;male;7;1670;nordelta;rday@hotmail.com
universidad nacional de tres de febrero;licenciatura en producción de bioimagenes;2020-11-28;patrick;brown;male;49;1672;villa lynch;larryalexander@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencias de la computación;2020-10-19;christine;arroyo;female;10;1674;villa raffo;allisonallen@hotmail.com
universidad nacional de tres de febrero;licenciatura en psicología;2020-10-25;andrea;gamble;female;-41;1674;villa raffo;nrogers@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias biológicas;2020-11-21;kevin;freeman;male;51;1682;martin coronado;emilysmith@gmail.com
universidad nacional de tres de febrero;licenciatura en planificación y diseño del paisaje;2020-10-28;emily;brown;female;8;1684;ciudad jardin del palomar;kellyariana@yahoo.com
universidad nacional de tres de febrero;licenciatura en gestión de agroalimentos;2020-12-04;luis;pratt;male;21;1688;villa santos tesei;gregory90@yahoo.com
universidad nacional de tres de febrero;actuario;2020-09-21;carrie;strickland;female;48;1688;villa santos tesei;lpage@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias antropológicas;2020-10-06;zachary;li;male;-20;1704;ramos mejia;victoria22@yahoo.com
universidad nacional de tres de febrero;licenciatura en ciencias de la computación;2020-12-25;christina;burns;female;2;1704;ramos mejia;murrayrobert@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencia y tecnología de alimentos;2020-10-11;david;white;male;5;1706;haedo;shortdebra@gmail.com
universidad nacional de tres de febrero;agronomía;2020-10-20;charles;shaffer;male;13;1706;haedo;sawyeryvonne@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencias antropológicas;2020-12-25;elaine;larson;female;7;1708;moron;jacobramos@hotmail.com
universidad nacional de tres de febrero;licenciatura en planificación y diseño del paisaje;2020-09-14;michelle;garner;female;20;1708;moron;sean67@gmail.com
universidad nacional de tres de febrero;diseño industrial;2021-01-05;robin;williams;female;-6;1712;castelar;seankirby@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencia y tecnología de alimentos;2020-11-12;jennifer;love;female;52;1714;ituzaingo;kathryn01@hotmail.com
universidad nacional de tres de febrero;licenciatura en kinesiología y fisiatría;2020-11-29;crystal;long;female;7;1714;ituzaingo;flowersandrew@gmail.com
universidad nacional de tres de febrero;agronomía;2020-09-12;katherine;dalton;female;25;1714;ituzaingo;jeremydavis@yahoo.com
universidad nacional de tres de febrero;diseño de imagen y sonido;2020-10-12;michaela;arroyo;female;3;1716;libertad;michael67@hotmail.com
universidad nacional de tres de febrero;licenciatura en terapia ocupacional;2020-12-04;james;schultz;male;43;1718;san antonio de padua;rebecca74@gmail.com
universidad nacional de tres de febrero;licenciatura en ciencias de la educación;2020-12-14;sarah;newton;female;12;1722;merlo;willisjennifer@hotmail.com
universidad nacional de tres de febrero;ingeniería electrónica;2021-01-07;mr.;andrew;male;-22;1722;merlo;cbennett@yahoo.com
universidad nacional de tres de febrero;licenciatura en artes;2020-09-23;thomas;moreno;male;-22;1722;merlo;harrisonhunter@yahoo.com
universidad nacional de tres de febrero;licenciatura en musicoterapia;2020-10-22;jacqueline;jones;female;38;1722;merlo;danielbaker@hotmail.com
universidad nacional de tres de febrero;licenciatura en ciencias de la computación;2020-10-11;ronnie;johnson;male;5;1727;b los aromos san patricio;michael49@hotmail.com
universidad nacional de tres de febrero;agronomía;2020-12-13;virginia;key;female;29;1733;plomer;bjackson@yahoo.com
universidad nacional de tres de febrero;contador público;2020-09-09;brad;robles;male;-20;1741;enrique fynn;pnguyen@gmail.com
